Run_ID,Iteration,Best_Fitness,Correct_Outputs,Active_Gates
1,1,14,14,7
1,2,14,14,7
1,3,14,14,7
1,4,14,14,7
1,5,14,14,7
1,6,14,14,7
1,7,14,14,7
1,8,14,14,7
1,9,14,14,7
1,10,14,14,7
1,11,14,14,7
1,12,14,14,7
1,13,14,14,7
1,14,14,14,7
1,15,14,14,7
1,16,14,14,7
1,17,14,14,7
1,18,14,14,7
1,19,14,14,7
1,20,14,14,7
1,21,14,14,7
1,22,15,15,5
1,23,15,15,5
1,24,15,15,5
1,25,15,15,5
1,26,15,15,5
1,27,15,15,5
1,28,15,15,5
1,29,15,15,5
1,30,15,15,5
1,31,15,15,5
1,32,15,15,5
1,33,15,15,5
1,34,15,15,5
1,35,15,15,5
1,36,15,15,5
1,37,15,15,5
1,38,15,15,5
1,39,15,15,5
1,40,15,15,5
1,41,15,15,5
1,42,15,15,5
1,43,15,15,5
1,44,15,15,5
1,45,15,15,5
1,46,15,15,5
1,47,15,15,5
1,48,15,15,5
1,49,15,15,5
1,50,15,15,5
1,51,15,15,5
1,52,15,15,5
1,53,15,15,5
1,54,15,15,5
1,55,15,15,5
1,56,15,15,5
1,57,15,15,5
1,58,15,15,5
1,59,15,15,5
1,60,15,15,5
1,61,15,15,5
1,62,15,15,5
1,63,15,15,5
1,64,15,15,5
1,65,15,15,5
1,66,15,15,5
1,67,15,15,5
1,68,15,15,5
1,69,15,15,5
1,70,15,15,5
1,71,15,15,5
1,72,15,15,5
2,1,14,14,4
2,2,14,14,4
2,3,14,14,4
2,4,14,14,4
2,5,14,14,4
2,6,14,14,4
2,7,14,14,4
2,8,14,14,4
2,9,14,14,4
2,10,14,14,4
2,11,14,14,4
2,12,14,14,4
2,13,14,14,4
2,14,14,14,4
2,15,14,14,4
2,16,15,15,4
2,17,15,15,4
2,18,15,15,4
2,19,15,15,4
2,20,15,15,4
2,21,15,15,4
2,22,15,15,4
2,23,15,15,4
2,24,15,15,4
2,25,15,15,4
2,26,15,15,4
2,27,15,15,4
2,28,15,15,4
2,29,15,15,4
2,30,15,15,4
2,31,15,15,4
2,32,15,15,4
2,33,15,15,4
2,34,15,15,4
2,35,15,15,4
2,36,15,15,4
2,37,15,15,4
2,38,15,15,4
2,39,15,15,4
2,40,15,15,4
2,41,15,15,4
2,42,15,15,4
2,43,15,15,4
2,44,15,15,4
2,45,15,15,4
2,46,15,15,4
2,47,15,15,4
2,48,15,15,4
2,49,15,15,4
2,50,15,15,4
2,51,15,15,4
2,52,15,15,4
2,53,15,15,4
2,54,15,15,4
2,55,15,15,4
2,56,15,15,4
2,57,15,15,4
2,58,15,15,4
2,59,15,15,4
2,60,15,15,4
2,61,15,15,4
2,62,15,15,4
2,63,15,15,4
2,64,15,15,4
2,65,15,15,4
2,66,15,15,4
3,1,14,14,2
3,2,14,14,2
3,3,14,14,2
3,4,14,14,2
3,5,14,14,2
3,6,14,14,2
3,7,14,14,2
3,8,14,14,2
3,9,15,15,4
3,10,15,15,4
3,11,15,15,4
3,12,15,15,4
3,13,15,15,4
3,14,15,15,4
3,15,15,15,4
3,16,15,15,4
3,17,15,15,4
3,18,15,15,4
3,19,15,15,4
3,20,15,15,4
3,21,15,15,4
3,22,15,15,4
3,23,15,15,4
3,24,15,15,4
3,25,15,15,4
3,26,15,15,4
3,27,15,15,4
3,28,15,15,4
3,29,15,15,4
3,30,15,15,4
3,31,15,15,4
3,32,15,15,4
3,33,15,15,4
3,34,15,15,4
3,35,15,15,4
3,36,15,15,4
3,37,15,15,4
3,38,15,15,4
3,39,15,15,4
3,40,15,15,4
3,41,15,15,4
3,42,15,15,4
3,43,15,15,4
3,44,15,15,4
3,45,15,15,4
3,46,15,15,4
3,47,15,15,4
3,48,15,15,4
3,49,15,15,4
3,50,15,15,4
3,51,15,15,4
3,52,15,15,4
3,53,15,15,4
3,54,15,15,4
3,55,15,15,4
3,56,15,15,4
3,57,15,15,4
3,58,15,15,4
3,59,15,15,4
4,1,14,14,2
4,2,14,14,2
4,3,14,14,2
4,4,14,14,2
4,5,14,14,2
4,6,14,14,2
4,7,14,14,2
4,8,14,14,2
4,9,15,15,5
4,10,15,15,5
4,11,15,15,5
4,12,15,15,5
4,13,15,15,5
4,14,15,15,5
4,15,15,15,5
4,16,15,15,5
4,17,15,15,5
4,18,15,15,5
4,19,15,15,5
4,20,15,15,5
